"asin","product_title","average_rating","total_reviews","review_author","author_badge","badge","reviewed_product_attribute","reviewed_variant_asin","variant_review_url","review_rating","review_date","reviewed_country","review_text","review_comment_count","review_header","no_of_people_reacted_helpful","author_profile_url","url","brand","review_url","input"
"B08L89J9G3","Apple iPhone 11 (64GB) - Green","4.6","10655","Shipra Goyal","","Verified Purchase","","","","1.0","October 23, 2019","India","Samsung s10 is much better than iphone 11","","Samsung s10 is better than iphone","403","https://www.amazon.in/gp/profile/amzn1.account.AFNTVP5KBF7C6GZLYVGGYVVQGD3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08L89J9G3/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=2&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Apple","https://www.amazon.in/gp/customer-reviews/R386FDLMAZDUPG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L89J9G3","https://www.amazon.in/New-Apple-iPhone-11-64GB/dp/B08L89J9G3/ref=sr_1_1_sspa?keywords=mobiles&qid=1639733798&sr=8-1-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFJVFhXUjRNTU1KOSZlbmNyeXB0ZWRJZD1BMTAwNjkzMTI3RDlPQU01MkZCUEomZW5jcnlwdGVkQWRJZD1BMDE5NDYyMjJVQU4xTDVFQVNRV1Imd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1"
"B08L89J9G3","Apple iPhone 11 (64GB) - Green","4.6","10655","gaurav garg","","Verified Purchase","","","","1.0","June 24, 2020","India","hi I had purchased this phone in first week of June 2020 trusting amazon. But this phone is defective, it failed to update, failed to connect to servers Finding no other solution, I used old version of iOS hoping it will work fine but it is not working fine, everytime it hangs and I am not able to work today while putting it for charging there was a blast in the battery and since then it is not working I have just exceeded return period, perhaps my 70 thousand is now gone down the drain","","Defective model","326","https://www.amazon.in/gp/profile/amzn1.account.AGRPT5FYZLFWWH6Y7QNRAAPPYVWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08L89J9G3/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=2&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Apple","https://www.amazon.in/gp/customer-reviews/RXAOS1IG04N09/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L89J9G3","https://www.amazon.in/New-Apple-iPhone-11-64GB/dp/B08L89J9G3/ref=sr_1_1_sspa?keywords=mobiles&qid=1639733798&sr=8-1-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFJVFhXUjRNTU1KOSZlbmNyeXB0ZWRJZD1BMTAwNjkzMTI3RDlPQU01MkZCUEomZW5jcnlwdGVkQWRJZD1BMDE5NDYyMjJVQU4xTDVFQVNRV1Imd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1"
"B08L89J9G3","Apple iPhone 11 (64GB) - Green","4.6","10655","Vinayak","","Verified Purchase","","","","1.0","June 06, 2020","India","I found this black spot while doing set up. Given me defective piece & now not able to give for replacement also. It's a very next day of purchase.","","Black spot found on the new phone.","454","https://www.amazon.in/gp/profile/amzn1.account.AFVNYRLRWDZU4SETR5OS7YRSQCEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08L89J9G3/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=2&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Apple","https://www.amazon.in/gp/customer-reviews/R3FZWAU9I8B7Q5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L89J9G3","https://www.amazon.in/New-Apple-iPhone-11-64GB/dp/B08L89J9G3/ref=sr_1_1_sspa?keywords=mobiles&qid=1639733798&sr=8-1-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFJVFhXUjRNTU1KOSZlbmNyeXB0ZWRJZD1BMTAwNjkzMTI3RDlPQU01MkZCUEomZW5jcnlwdGVkQWRJZD1BMDE5NDYyMjJVQU4xTDVFQVNRV1Imd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1"
"B08L89J9G3","Apple iPhone 11 (64GB) - Green","4.6","10655","Neha","","Verified Purchase","","","","1.0","July 10, 2020","India","Please do not buy expensive product like iphone from Amazon, i had very bad exp, the charger cord was missing and had sound quality issues. Amazon initial told charger doesn't come in box and when i challenged it they asked reimburse the cord amount, but i requested a replacement, after some days they called me and informed that they dont take responsibility of missing items, and 10 day replacement policy they dont follow, you can read the email conversation attached here where i mentioned every thing, i have the call recordings as well. At last they denied the phone replacement and even to provide the missing cord. For any damage or quality issues they said amazon is not responsible.","","Do not buy iphone or expensive product from Amazom","29,446","https://www.amazon.in/gp/profile/amzn1.account.AFJB3MYWPURDDP6FBCK2MHRXOVQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08L89J9G3/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=1&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Apple","https://www.amazon.in/gp/customer-reviews/R2175DKWOQ16BI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L89J9G3","https://www.amazon.in/New-Apple-iPhone-11-64GB/dp/B08L89J9G3/ref=sr_1_1_sspa?keywords=mobiles&qid=1639733798&sr=8-1-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFJVFhXUjRNTU1KOSZlbmNyeXB0ZWRJZD1BMTAwNjkzMTI3RDlPQU01MkZCUEomZW5jcnlwdGVkQWRJZD1BMDE5NDYyMjJVQU4xTDVFQVNRV1Imd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1"
"B08L89J9G3","Apple iPhone 11 (64GB) - Green","4.6","10655","Harjeet","","Verified Purchase","","","","5.0","January 20, 2021","India","Dont go by the negative reviews! If you want to go for iphone which can compete with high end android phones, this is the one. I have used the Oneplus 7T for 2.5 months (and sold it) and can say after comparison that the photos that iPhone 11 takes are way better than OP 7T. The battery has been performing really well after all daily chores, youtube, spotify, netflix, etc. I have last charged the phone to 100% at 9.12 pm and as I write this review (12.54 pm next day), I have got 30% left. I used to have an iphone 6s which I used for 4 years after which I bought the OP 7T. Now that I am back to the ios ecosystem, it does feel good! Also, trust me, the transition back to a Liquid Retina display from 90Hz does not feel bad, because Apple has really done a good job is maintaining a crisp and vibrant display in iPhone 11. Go for it guys!!","","Best ever","109","https://www.amazon.in/gp/profile/amzn1.account.AGVQXLY22OZPFGVM4I6VXG7UVQNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08L89J9G3/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=3&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Apple","https://www.amazon.in/gp/customer-reviews/RGWPFHIVNBBUN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L89J9G3","https://www.amazon.in/New-Apple-iPhone-11-64GB/dp/B08L89J9G3/ref=sr_1_1_sspa?keywords=mobiles&qid=1639733798&sr=8-1-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFJVFhXUjRNTU1KOSZlbmNyeXB0ZWRJZD1BMTAwNjkzMTI3RDlPQU01MkZCUEomZW5jcnlwdGVkQWRJZD1BMDE5NDYyMjJVQU4xTDVFQVNRV1Imd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1"
"B08L89J9G3","Apple iPhone 11 (64GB) - Green","4.6","10655","shanu Kumar","","Verified Purchase","","","","5.0","September 30, 2019","India","Awesome Phone. Nice upgrade from iPhone 6s to iPhone 11. Love this beautiful phone.","","Solid premium phone from Apple","4,102","https://www.amazon.in/gp/profile/amzn1.account.AFBHQREIB2BNRTFXKBX3OTXCQ63A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08L89J9G3/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=1&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Apple","https://www.amazon.in/gp/customer-reviews/R2XPHII12D9O7Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L89J9G3","https://www.amazon.in/New-Apple-iPhone-11-64GB/dp/B08L89J9G3/ref=sr_1_1_sspa?keywords=mobiles&qid=1639733798&sr=8-1-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFJVFhXUjRNTU1KOSZlbmNyeXB0ZWRJZD1BMTAwNjkzMTI3RDlPQU01MkZCUEomZW5jcnlwdGVkQWRJZD1BMDE5NDYyMjJVQU4xTDVFQVNRV1Imd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1"
"B08L89J9G3","Apple iPhone 11 (64GB) - Green","4.6","10655","Deekshant sharma","","Verified Purchase","","","","1.0","November 20, 2019","India","The worst phn I have bought,started to heat up badly the very first time I switched it on ,Moreover it heats up everytime when I switch it on.Tried returning it to apple they denied,don't buy it from amazon","","Don't buy from Amazon","269","https://www.amazon.in/gp/profile/amzn1.account.AHTQIHXGOFVKOT4X35DPIIU4MUVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08L89J9G3/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=2&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Apple","https://www.amazon.in/gp/customer-reviews/RMRGUTUGHBHLF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L89J9G3","https://www.amazon.in/New-Apple-iPhone-11-64GB/dp/B08L89J9G3/ref=sr_1_1_sspa?keywords=mobiles&qid=1639733798&sr=8-1-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFJVFhXUjRNTU1KOSZlbmNyeXB0ZWRJZD1BMTAwNjkzMTI3RDlPQU01MkZCUEomZW5jcnlwdGVkQWRJZD1BMDE5NDYyMjJVQU4xTDVFQVNRV1Imd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1"
"B08L89J9G3","Apple iPhone 11 (64GB) - Green","4.6","10655","Prasanna","","Verified Purchase","","","","1.0","August 28, 2020","India","Beware of Amazon and the seller Appario Retail Private Ltd. Never purchase high end phones from online platform. The phone delivered to me yesterday was in damaged condition with vertical line on the screen. After contacting Amazon I was asked to take a note from authorised Apple service centre. Even after doing the same I was asked by one of the Amazon representative again to get one more letter from service centre. To my surprise, the service centre denied stating they never issue letters, other than the service record sheet. Still waiting for Amazon to process the exchange of iPhone 11. Horrible experience with #Amazon. 😭 Rating of 1 star is for Amazon and the seller and not for the phone. Further I don't have idea for battery, face recognition and camera as I was not able to use iphone 11 and till now I have only bitter experience.","","Damaged Phone Supplied by Amazon","72","https://www.amazon.in/gp/profile/amzn1.account.AHWOMBZCUJA5RDM2FQTIJEILF63Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08L89J9G3/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=4&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Apple","https://www.amazon.in/gp/customer-reviews/R191LGVP1KJ83G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L89J9G3","https://www.amazon.in/New-Apple-iPhone-11-64GB/dp/B08L89J9G3/ref=sr_1_1_sspa?keywords=mobiles&qid=1639733798&sr=8-1-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFJVFhXUjRNTU1KOSZlbmNyeXB0ZWRJZD1BMTAwNjkzMTI3RDlPQU01MkZCUEomZW5jcnlwdGVkQWRJZD1BMDE5NDYyMjJVQU4xTDVFQVNRV1Imd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1"
"B08L89J9G3","Apple iPhone 11 (64GB) - Green","4.6","10655","kIRTAN","","Verified Purchase","","","","1.0","November 24, 2019","India","Pathetic Amazon service!! Don't buy online. My back camera has problem, shows many green dots. Apple store is of little help. Amazon as expected, is of NO help. Waiting to get this resolved. I preferred this over pixel just for camera!!! Sigh!!!","","Not recommended","324","https://www.amazon.in/gp/profile/amzn1.account.AFAZWKSL7L3GXVZH7JXDHC3OASMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08L89J9G3/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=2&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Apple","https://www.amazon.in/gp/customer-reviews/R3GAAEGJW33YTQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L89J9G3","https://www.amazon.in/New-Apple-iPhone-11-64GB/dp/B08L89J9G3/ref=sr_1_1_sspa?keywords=mobiles&qid=1639733798&sr=8-1-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFJVFhXUjRNTU1KOSZlbmNyeXB0ZWRJZD1BMTAwNjkzMTI3RDlPQU01MkZCUEomZW5jcnlwdGVkQWRJZD1BMDE5NDYyMjJVQU4xTDVFQVNRV1Imd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1"
"B08L89J9G3","Apple iPhone 11 (64GB) - Green","4.6","10655","Arnab Biswas","","Verified Purchase","","","","5.0","October 11, 2019","India","After 3 years with iPhone 7 I finally decided to take an upgrade to iPhone 11, and I must say, that it’s totally a value for money! Have been using it continuously since morning, it’s been 5-6 hours of usage and the battery has come down from 100 to 75% only! If you’re looking for a high end and value for money smartphone, this is it! There are a few bugs however, but they’re iOS bugs which’ll be sorted soon I’m sure with upcoming updates!","","Great battery+camera+Apple Quality!","26","https://www.amazon.in/gp/profile/amzn1.account.AHYCDN4NLXOJKW4MOYEBN7MGLW5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08L89J9G3/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=7&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Apple","https://www.amazon.in/gp/customer-reviews/R371DICXJ418N1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L89J9G3","https://www.amazon.in/New-Apple-iPhone-11-64GB/dp/B08L89J9G3/ref=sr_1_1_sspa?keywords=mobiles&qid=1639733798&sr=8-1-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFJVFhXUjRNTU1KOSZlbmNyeXB0ZWRJZD1BMTAwNjkzMTI3RDlPQU01MkZCUEomZW5jcnlwdGVkQWRJZD1BMDE5NDYyMjJVQU4xTDVFQVNRV1Imd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1"
